id,brand,title,price,priceCurrency,description,specTableContent
1,,MSI MPG Z490 GAMING EDGE WIFI Mainboard - Intel Z490 - Intel LGA1200 socket - DDR4 RAM - ATX,198.24,EUR,"Mainboard, ATX, Intel LGA1200 Socket, Intel Z490, 2 x PCI-Express 3.0 x16, Dual DDR4-2933 - 4 x DIMM slots, 6 x SATA-600 / 2 x M.2 NVMe (2242 / 2260 / 2280), USB 3.2 Type A & C, DisplayPort / HDMI Verbindung, Realtek 8125B 2.5 Gigabit LAN, Intel WiFi 6 (802.11ax) & Bluetooth 5.1, Intel HD Graphics unterstützung (CPU erforderlich), Realtek ALC1220 HD Audio (8-Kanäle), stützen CrossFireX - MSI Mystic Light RGB support",
10,,WS-C2960+24TC-L Cisco Catalyst 2960-Plus Network Switch (New),3.73E2,USD,"Condition: NEWAvailability: Stock AvailableCisco 2960 Plus Ethernet Switch - 24 ports - 24 x 10/100 + 2 x combo Gigabit SFP - rack-mountable (WS-C2960+24TC-L)The Cisco Catalyst 2960-Plus series switches are fixed-configuration Fast Ethernet switches that provide enterprise-class Layer 2 switching for branch offices, conventional workspaces, and infrastructure applications. They enable reliable and secure operations with lower total cost of ownership through a range of Cisco IOS software features, including Cisco Catalyst SmartOperations.GeneralDevice TypeSwitch - 24 ports - managedEnclosure TypeRack-mountable 1USubtypeFast EthernetPorts24 x 10/100 + 2 x combo Gigabit SFPPerformanceSwitching capacity: 16 Gbps ¦ Forwarding performance (64-byte packet size): 6.5 MppsCapacityActive",
11,Maxxis,"Maxxis Maxxis, High Roller II, Tire, 29''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, Double Down, Wide Trail, 120x2TPI, Black",122.00,CAD,,
12,TP-Link,TP-LINK TL-SG108PE Unmanaged Gigabit Ethernet (10/100/1000) Zwart Power over Ethernet (PoE),56.40,EUR,"8-Port, 10/100/1000Mbps RJ45 Ports, IEEE 802.3i/u/ab/af/x/q/p",
13,,WD HDD2.5 1TB SATA WD10JFCX,379.6,LEI,"HDD intern notebook WD 2.5\"", 1TB, Red, SATA3, 5400rpm, IntelliPower, 16MB",
14,SanDisk,SanDisk Extreme PRO SD UHS-II Card Reader/Writer,36.00,SGD,Designed for use with high-performance SD UHS-II memory cards. USB 3.0 interface for transfer speeds up to 500MB/s. USB 3.0 interface downloads up to 10 times faster than USB 2.0 interface. Built for productivity and workflow efficiency. Built for productivity and workflow efficiency. Backward compatible with USB 2.0,
15,,Jabra EVOLVE 20 UC Stereo (USB),,,Corded stereo headset for VoIP softphoneOptimized for Unified Communication with USB adapter that enables easy integration with PC.Foam ear cushions.,
16,New Era,NEW YORK YANKEES LEAGUE BASIC 9FORTY MARINE BLANC,25,EUR,"NEW ERA10531939New EraNew York Yankees League Basic 9Forty Marine Blanc- Casquettes en Coton, Coloris Marine Et Blanc",
17,,Kape New Era Oakland Raiders HM Knitted Cap,239,HRK,,
18,Garmin,"Garmin Venu Smartwatch, black/slate grey",379.99,EUR,,
19,,"E260, E360, E460 3.5K Return Program Toner Cartridge",3228.00,CZK,CZ distribuce / 0734646064620 / E260A11E /,
20,,"Corsair LL140 RGB, 140mm Fans - 2 Pack w/ Lighting Node Pro",499.00,QAR,"Description16 independent RGB LEDs in every fan, split between two separate light loops.Software control and customize RGB lighting effects with the included Corsair lightingPWM fan control allows for dynamic speed adjustment between 600 rpm to 1, 300 rpm, minimizing noise or maximizing airflow.140mm fan Blade engineered for Low-Noise operation without sacrificing performance.",
21,Seiko,Seiko Mens Presage Automatic Blue Date Dial Stainless Steel Bracelet Watch SRPD41J1,428.00,GBP,PRESAGE SS BW BLU DL DT,
22,Epson,Epson Blekk Orange Ultrachrome HDR - PRO 7900,3195,NOK,,
23,,Genuine Xerox 106R01218 Cyan Toner Cartridge,$432.95,,Genuine Xerox 106R01218 Cyan Toner Cartridge for use in Phaser 6360,
24,,"Hikvision 4 Port Unmanaged PoE Switch,1*100M Uplink [DS-3E0105P-E]",97.520001,AUD,Key FeaturesLayer 2 unmanaged PoE switch4x 10/100Mbps Ethernet ports1x 100Mbps uplinkIEEE 802.3af or 802.3at PoE standard802.3af or 802.3at,
25,,Epson Fox T128 Black Single,1.397E1,EUR,,
26,D'Addario,"D'Addario D'Addario EJ74 Mandolin Strings, Phosphor Bronze, Medium, 11-40",8.99,USD,"EJ74, D'Addario's best selling mandolin set, is the standard established by David Grisman and Ricky Skaggs.",
27,,BROTHER - LC1280XLM ink cartridge magenta,246.25,SEK,BROTHER LC1280XLM ink cartridge magenta (LC1280XLM) - Produkt: Bläck,
28,Corsair,Corsair Vengeance LPX 8GB DDR4 3000MHz Memory (RAM) Module,48.77,GBP,"CMK8GX4M1D3000C16, DDR4, 3000MHz, CL15, 1.2v, XMP 2.0, Lifetime Warranty",
29,,Ernie Ball 2222 Electric Guitar Strings - Hybrid Slinky Nickel Wound - 9-46,5.99,USD,,
30,,TP-Link TL-SG1024D 24port Gigabit Switch metal,29260,HUF,"24xport, 24xGigabit",
31,Garmin,"Garmin Forerunner 245 Music GPS Smartwatch, black/red",349.99,EUR,,
32,,"Congelator incorporabil Liebherr Premium SIGN 3556, No Frost, 213 l, A++",6499.00,RON,"Congelator incorporabil Liebherr Premium SIGN 3556, No Frost, 213 l, A++",
17,,Kape New Era Oakland Raiders HM Knitted Cap,239,HRK,,
33,RAM,"RAM 2.25\"" Ball with 2 U-Bolts (RAM-D-235U)",67.00,AUD,"A 2.25\"" Rubber ball with two u-bolts for 0.75\"" - 1.25\"" diameters.",
34,Lacie,LACIE RUGGED 4TB Thunderbolt USB-C 2.5inch 130MB/s shock/dust/water resistant,247.24,EUR,,
35,Bosch,Bosch KGN34NWEAG 60cm Frost Free Fridge Freezer,449.00,GBP,"Innovative Cooling FeaturesThanks to Bosch’s FreshSense technology, the KGN34NWEAG has sensors which monitor and control the perfect climate for your compartments, meaning your food can maintain an even temperature and retain more flavour. Plus, with the Multi Airflow System, this fridge freezer maintains an even air distribution for longer freshness, and ensures that smells aren’t transferred between foods.As the Bosch KGN34NWEAG has No Frost technology, your fridge freezer will be completely free of ice, and you’ll never have to worry about manually defrosting your appliance again.Do you find it difficult to read the expiry date on items you’ve bought? With",
36,,Gorra New Era chicago bulls 9forty cap,2.19E1,EUR,,
37,Dymo,Dymo Tape D1 12mm Black/White Perm Poly,1674,EUR,,
38,OKI,Original OKI 44973533 Toner Yellow,85.90,EUR,OKI C 301 DN OKI C 321 DN OKI MC 332 DN OKI MC 340 Serie OKI MC 342 DN OKI MC 342 DNW,
39,,"16GB Kit (2 x 8GB) Vengeance RGB Pro DDR4 3000MHz, CL15, White, RGB LED, DIMM Memory",100.03,USD,"16GB Kit (2 x 8GB) Vengeance RGB Pro DDR4 3000MHz, CL15, White, RGB LED, DIMM Memory",
40,,Memoria RAM Crucial CT8G4S24AM - 8GB - DDR4 - 2400 MHz,1049.00,MXN,,
41,,BBT-22 Bottom Bracket Tool,19.99,USD,"The BBT-22 is a shop-quality tool for installing and removing Shimano and ISIS Drive splined 20-tooth bottom bracket cups. Made from investment-cast steel, the BBT-22 ensures maximum engagement...",
42,,Sandisk 16gb Cruzer Force Flash Drive,4.99,GBP,"At a glanceSleek, stylish designDurability to help protect your filesPassword-protects and encrypts private files18GB, 16GB and 32GB* capacitiesFull product descriptionWith its smart grey and red finish, Cruzer Force USB Flash Drive 16GB looks good from the moment you see it. Its outer casing is engineered from metal to ensure that it gives your files an extra dimension of physical protection against accidental knocks. And its neat design means it’s ready for you to store or access files at moment’s notice.The Cruzer Force USB Flash Drive is available in capacities of up to 16GB*. Stylish, secure and durable, it’s a great",
43,,TP-LINK AC 1350 Dual-band C60 (2.4 GHz / 5 GHz) Fast Ethernet Wit,49.56,EUR,"802.11ac, 2.4GHz-5GHz, 450Mbps/867Mbps, IPv4/IPv6, Fast Ethernet",
44,,"LaCie Rugged IP54 2TB 2.5\"" HDD Thunderbolt3 & /USB3.1 Type C w/integrated cable",209,EUR,,
45,,Sony 85mm f1.8 FE Lens (SEL85F18),539,GBP,"E-Mount Lens/Full-Frame FormatAperture Range: f/1.8 to f/22One Extra-Low Dispersion ElementDouble Linear AF MotorFocus Hold Button; AF/MF SwitchNine-Blade Circular DiaphragmWeather-Resistant DesignHigh corner-to-corner resolutionThis compact, easy-to-handle lens offers fine prime lens performance with high corner-to-corner resolution. A precision optical design includes one ED (Extra-low Dispersion) glass element to effectively minimise chromatic aberration, while spherical aberration is tightly controlled for high overall sharpness with smooth bokeh when required.Beautiful bokeh enhances portraitsSpherical aberration is carefully optimised to achieve the best possible balance between resolution and smooth, natural bokeh that can provide a perfect backdrop for a wide range of subjects, while a 9-blade circular",
46,,APC Smart-UPS 1000VA/700W LCD 230V with SmartConnect,2617.9048,RON,APC Smart-UPS 1000VA/700W LCD 230V with SmartConnect,
47,Sandisk,SanDisk 32GB Ultra Micro SDHC Class 10 48MB/s,29,AUD,"Today's mobile devices feature advanced photo and video capabilities, so you can record all of life's exciting moments. SanDisk Ultra microSDHC and microSDXC UHS-I memory cards allow you to capture, carry, and keep all those moments at your fingertips.Class 10 Speed Rating for Full HD Video CaptureThis memory card features Class 10 video rating for high-quality video recording, so you can capture Full HD without dropouts and stuttering. The cards allow you to store plenty of Full HD video files before you have to transfer files to your computer.Add Storage to Android Smartphones and TabletsSanDisk Ultra microSDHC and microSDXC UHS-I",
11,Maxxis,"Maxxis Maxxis, High Roller II, Tire, 29''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, Double Down, Wide Trail, 120x2TPI, Black",122.00,CAD,,
48,,TV LED LG 32LK510BPLD - 32'/81.28CM- HD 1366X768-DVB-AUDIO 10W-USB-2XHDMI-VIRTUAL SURROUND - A+,185,EUR,TV LED LG 32LK510BPLD - 32'/81.28CM - HD 1366X768 - 300HZ PMI - DVB-T2/C/S2 - AUDIO 10W - USB - 2XHDMI - VIRTUAL SURROUND - EFICIENCIA ENERGÉTICA A+,
49,,Epson C13T591700Stylus PRO 11880 Light Black,,,,
50,,HIKVISION DS-7216HUHI-K2 5 MEGAPIXEL (5MP) HYBRID 16 CHANNEL DVR,,,The HIKVISION DS-7216HUHI-K2 is the Fourth Generation TURBO 4 DVR. This DVR use H.264 and Duel stream video compression and uses a BNC interface for camera input. The TURBO range of DVRs are able to support up to 5MP HD-TVI Input. This range of DVRs has both VGA and HDMI outputs with an HDMI output at up to 4K Resolution (3840 x 2160).This DVR supports on HDD of up to 12TB. This DVR also has the additional benefit of supporting an additional 2x IP cameras of up to 6MP Resolution.,
0,,"Western Digital Blue PC 2.5\"" 250 GB Serial ATA III",62.436001,EUR,"250 GB, 2.5\"", SATA 6Gb/s, 540/500 MB/s",
51,,Razer Viper Ambidextrous Gaming Mouse,154,AUD,"ABSOLUTE CONTROLControl the outcome of any battle with a gaming mouse that combines high precision, a cutting-edge lightweight body, and the fastest actuation in gaming. Meet the Razer Viper—featuring industry-leading mice technology that’s designed with and tested by Team Razer athletes, bringing you a mouse that’s bred to tear up the pro scene.Key FeaturesRAZER™ OPTICAL MOUSE SWITCHEvery click you make actuates at the speed of light. The Razer™ Optical Mouse Switch utilizes an infrared light beam to register a click, resulting in an industry-leading response time of 0.2 milliseconds. Its instant actuation eliminates debounce and unintended clicks, giving you complete",
52,,New Era NFL LA Rams 9Fifty Cap Baseball sapka,13140,HUF,,
53,,TP-Link TL-SG108PE 8-Port Gigabit PoE Web Managed,122.20,CAD,"The TL-SG108PE is an 8-port Gigabit Easy Smart Switch with 4 PoE ports, represents a powerful upgrade from an unmanaged switch. It is designed specically for small businesses that require simple network management and PoE function. The TL-SG108PE can connect and power up to four PoE devices, such as wireless access points (APs), IP cameras, and IP phones. Through its web-based user interface and management utility, the TL-SG108PE offers a variety of useful features, including network monitoring, trafc prioritization, and enhanced QoS. Additionally, with port-based, tag-based and MTU VLAN, TL-SG108PE can improve security and meet more network segmentation requirements.",
54,,TP-LINKT1500G-8T 8Port Gigabit Smart Switch (TL-SG2008),26700,HUF,"8-port Pure-Gigabit Smart Switch, 8 10/100/1000Mbps RJ45 ports, Tag-based VLAN, STP/RSTP/MSTP, IGMP V1/V2/V3 Snooping, DHCP Filtering, 802.1P Qos, Rate Limiting, Voice VLAN,Port Trunking, LACP, Port Mirroring, SNMP, RMON",
55,Hamilton,Hamilton Khaki Field Automatic watch H70555533,430.5,EUR,,
56,,SanDisk Extreme Pro 64GB microSDXC Memory Card + SD Adapter,19.49,GBP,"Perfect for your action camera or drone, Write speeds of up to 90MB/s, Great for Capturing 4K UHD Video, Loads apps faster with A2",
23,,Genuine Xerox 106R01218 Cyan Toner Cartridge,$432.95,,Genuine Xerox 106R01218 Cyan Toner Cartridge for use in Phaser 6360,
57,,TP-LINK TL-SG105 Unmanaged Gigabit Ethernet (10/100/1000) Zwart,1.795E1,EUR,"5-port Metal Gigabit Switch, 5 10/100/1000M RJ45 ports, supports GMP Snooping; IEEE 802.1p QoS; Plug and Play; metal case",
58,SWISS MILITARY HANOWA,Swiss Military Hanowa Flagship 06-5161.2.04.003,6145.0000,UAH,Swiss Military Hanowa Flagship 06-5161.2.04.003,
59,,Original Epson T9454 Yellow High Capacity Inkjet Cartridge - (C13T945440),80.17,GBP,Epson Original T9454 Yellow High Capacity Inkjet Cartridge - (C13T945440),
60,,Asus ROG STRIX B550-E GAMING AM4 ATX Motherboard,409.00,AUD,"ASUS ROG STRIX B550-E GAMING AM4 ATX Motherboard - Memory Support: 4x DIMM DDR4 Slots (128GB, 4400 MHz O.C) - Expansion Slots: 2x PCIe 4.0 x16 (x16 or dual x8), 1x PCIe 3.0 x16 (x4 Mode) & 2x PCIe 3.0 x1 - Storage Support: 2x M.2 Slot & 6x SATA 6Gb/s Connectors - Network: Intel® Wi-Fi 6 AX200, Bluetooth 5.1 & Intel® I225-V 2.5Gb Ethernet - ROG SupremeFX 7.1-Channel High Definition Audio CODEC S1220A - Rear USB Ports: 3x USB 3.2 Gen 2 (1x USB-C), 4x USB 2.0 & 1x USB 2.0",
61,,Jabra BIZ 2300 USB MS Duo - headset,168,USD,"Your contact center agents are your brand ambassadors, so give them the tool to sound as clear as your brand. In Jabra's Biz 2300 world class sound meets world class durability in an exceptionally comfortable and stylish corded headset – keeping both your agents and your customers happy. Jabra Biz 2300 USB Microsoft Duo is a stereo headset that provides USB connectivity optimized for Microsoft Skype for Business.",
62,,Seagate 12TB 7200obr. 256MB IronWolf,1859,PLN,,
63,,Kšiltovka New Era Clean Trucker 2 New York Yankees,544,CZK,,
64,Asus,ASUS PRIME B460-PLUS LGA1200 B460 Chipset mATX Motherboard,88.27,GBP,"mATX, Dual Channel DDR4, 1 x PCIe 3.0 x16, 2x PCIe 3.0 x1,1x M.2, 1Gb Ethernet, USB 3.2 Gen 1, DVI-D,",
65,,"Epson T603700 Light Black Ink 220ml UltraChrome for SP 7800, 7880 & 9800, 9880",169.00,CAD,,
66,Kingston,Storage Kingston DataTraveler 64GB USB3.0 G3,6.90,EUR,DataTraveler 100 G3 64GB,
67,Cisco,WS-C3560CX-12PC-S Cisco Catalyst 3560 CX 12 Port PoE IP Base. Refurbished.,645,USD,"WS-C3560CX-12PC-S Cisco Catalyst 3560 CX 12 Port PoE IP Base.General Information: Manufacturer Cisco Systems, Inc Manufacturer Part Number WS-C3560CX-12PC-S Manufacturer Website Address http://www.cisco.com Brand Name Cisco Product Line Catalyst Product Series 3560-CX Product Model 3560CX-12PC-S Product Name 3560CX-12PC-S Layer 3 Switch Product Type Layer 3 Switch Interfaces/Ports Stack Port No Total Number of Network Ports 12 Number of PoE+ (RJ-45) Ports 12 Number of Network (RJ-45) Ports 2 Port/Expansion Slot Details 2 x Gigabit Ethernet Uplink Port/Expansion Slot Details 12 x Gigabit Ethernet Network Port/Expansion Slot Details 2 x Gigabit Ethernet Expansion Slot Media & Performance Media Type Supported Twisted",
68,,Corsair iCUE H115i RGB PRO XT Liquid CPU Cooler,225.00,AUD,"Corsair iCUE H115i RGB PRO XT Liquid CPU Cooler, 280mm Radiator, compatible with Intel Socket LGA: 2066, 2011-3, 2011, 1156, 1155, 1151, 1150 AMD Socket: AM4, AM3, AM2+, AM2, TR4, TRX40",
69,Logitech,Logitech G332 Wired Gaming Kulaklık 981-000757,459.29,TRY,,
70,,Switch Netgear 48Port 10/100/1000 GS748Tv5,1617.31,PLN,"NETGEAR ProSafe GS748Tv5 - Switch - L3 Lite - Managed - 48 x 10/100/1000 + 2 x Gigabit SFP + 2 x combo Gigabit SFP - desktop, rack-mountable",
71,,"BROTHER HL-L6200DW WIRELESSMONO LASER PRINTER WITH2-Sided PRINTING(46 PPM, 520 Sheets Paper...",511.00,AUD,"Mpn: HL-L6200DWVendor:BrotherBROTHER HL-L6200DW WIRELESSMONO LASER PRINTER WITH2-Sided PRINTING(46 PPM, 520 Sheets Paper Tray, Built-in Network & WiFi)Brother HL-L6200dw Monochrome Laser PrinterThe HL-L6200DW monochrome laser printer from Brother can transform your businessâ€™ productivity in one swoop. Perfect for small workgroups within your organisation, this machine features print speeds of up to 46ppm, high-speed wired and wireless connectivity, a combined paper input of 570 sheets, automatic 2-sided printing and exceptional paper handling options. And, when you add all this to its reputation of being a reliable hard-working machine combined with new optional high-yield toner cartridges, youâ€™ve found a way to take your",
72,,TUF Gaming M5 Optical USB RGB Gaming Mouse With Heavy-Duty Omron Switches,56.80,USD,"TUF Gaming M5 TUF Gaming M5 is a compact ambidextrous gaming mouse that delivers the comfort, performance, and reliability that gamers demand. It's ergonomic and lightweight for prolonged campaigns, with a high-precision optical sensor that gives you an edge in battle. Backed by 50-million-click Omron® switches and a specialized coating for exceptional durability, the M5 is validated for tough duty. It also features customizable ASUS Aura Sync RGB lighting so you can dominate in personalized style. Ambidextrous Ergonomic Design TUF Gaming M5 has a compact, ambidextrous form factor that's optimized for swift gameplay using claw or fingertip grip. Ergonomic and",
73,Brother,Brother LC225XL G2 Magenta - Compatible,9.85,GBP,Brother LC225XL G2 Magenta - Compatible,
10,,WS-C2960+24TC-L Cisco Catalyst 2960-Plus Network Switch (New),3.73E2,USD,"Condition: NEWAvailability: Stock AvailableCisco 2960 Plus Ethernet Switch - 24 ports - 24 x 10/100 + 2 x combo Gigabit SFP - rack-mountable (WS-C2960+24TC-L)The Cisco Catalyst 2960-Plus series switches are fixed-configuration Fast Ethernet switches that provide enterprise-class Layer 2 switching for branch offices, conventional workspaces, and infrastructure applications. They enable reliable and secure operations with lower total cost of ownership through a range of Cisco IOS software features, including Cisco Catalyst SmartOperations.GeneralDevice TypeSwitch - 24 ports - managedEnclosure TypeRack-mountable 1USubtypeFast EthernetPorts24 x 10/100 + 2 x combo Gigabit SFPPerformanceSwitching capacity: 16 Gbps ¦ Forwarding performance (64-byte packet size): 6.5 MppsCapacityActive",
74,,MB Presa AM4 ASUS PRIME B450-PLUS,93.66,,"ASUS PRIME B450-PLUS, AMD, Presa AM4, AMD Ryzen, DDR4-SDRAM, DIMM,",
75,Swiss Military Hanowa,Swiss Military Hanowa06-5161.2.04.007 Flagship Uhr,249.00,EUR,Black & Steel Swiss Made Watch with Date,
76,,Corsair Vengeance LPX 32GB (4x8GB) 2666MHz DDR4 Memory Kit,,,"powered by Intel XMP profile support, large 32GB DDR4 memory stick kit, low voltage requirement (1.2V) stick and with CL16 latency timing",
77,,Fractal Design Node 804 HTPC Case - Black USB 3.0,,,Available @ CCL: Fractal Design Node 804 Home HTPC Case in Black with Window. Fits up to mATX motherboards,
78,Canon,"Canon PFI-107C PFI-107C 6706B001AA Ink Cartridge - Cyan, 6706B001 (6706B001)",83.32,USD,Pfi-107C - Dye Cyan Ink Tank 130Ml,
79,Jabra,Casque Micro Jabra BIZ 2300 USB UC Duo,115.99,EUR,Casque Micro Jabra BIZ 2300 USB UC Duo,
80,Corsair,Corsair Force MP510 series 480GB NVMe PCIe M.2 Solid State Drive (CSSD-F480GBMP510B),79.992,GBP,"480GB Corsair MP510, M.2 (2280) PCIe 3.0 (x4) NVMe 1.3 SSD,3480MB/s Read,2000MB/s Write, 360k/ 440k IOPS",
81,,Epson C13T596300 T5963 Vivid Magenta Ink 350ml,,,"Who wants to spend time thinking about their printer? It should just work. We've developed our inks and printers to work in harmony, so that they'll do just that and give you consistent and reliable results without any fuss. That's because we invest in extensive research, high-tech manufacturing facilities and put our products through rigorous tests.But naturally, we can't say the same for inks that we've not created. There's no assurance from Epson that so-called compatible inks or remanufactured cartridges will deliver.Are you willing to put yourself at risk of unreliable yields and poor prints? Or worse, the cartridges failing",
82,Apple,Apple Apple Lightning to VGA Adapter,75.00,AUD,Apple Lightning to VGA Adapter,
83,ASUS,Asus ROG Strix Radeon™ RX 5700 XT OC edition 8GB GDDR6 Graphic Card ROG-STRIX-RX5700XT-O8G-GAMING,847,AUD,,
84,,GoPro Dual Battery Charger For HD4,4.999E1,USD,"GoPro Dual Battery Charger For HD4Conveniently charge your HERO4 camera batteries with the Dual BatteryCharger, the only GoPro charger that allows you to charge two HERO4 batteries simultaneously. Featuring USB compatibility, you can power it with most standard USB power adapters, the GoPro Auto or Wall Charger, 1 or a computer.2 Dual LED indicator lights display the charging status, so you know when your batteries are ready for action. Includes a spare 1160mAh lithium-ion rechargeable battery for your HERO4 camera.Conveniently charges two HERO4 camera batteries simultaneouslyCan be powered with most standard USB power adapters, the GoProÌâåÊAutoÌâåÊorÌâåÊWall Charger,1ÌâåÊor a computer2Dual LED",
85,,"Maxxis Minion DHR II 29"" x 2.4"" 60TPI Tire - 3C MG DH",81.00,USD,With side knobs borrowed from the legendary Minion DHF but widened to provide more support the DHR II corners like no other. The center tread features ramped leading edges to improve acceleration and sipes to create a smooth transition when leaning the bike. Paddle-like knobs on the center tread dig...,
86,,"APC SMART-UPS (SMX), 3000VA, IEC(8), EXT BATT(0/10), SMART SLOT, LCD, 4U RACK/TWR, 3YR",3131.45,AUD,"Intelligent and efficient network power protection from entry level to scaleable runtime. Ideal UPS for servers, point-of-sale, routers, switches, hubs and other ...",
87,IIYAMA,Ecran Pc IIYAMA GE2288HS-B1 G-MASTER Black Hawk,109.99,EUR,Ecran Pc IIYAMA GE2288HS-B1 G-MASTER Black Hawk- 1920 x 1080 pixels - 1 ms - Format large 16/9 - HDMI - Noir,
88,WESTERN DIGITAL,SSD WESTERN DIGITAL Blue 3D NAND1To,114.99,EUR,SSD WESTERN DIGITAL Blue 3D NAND1To,
89,,APC - SMART-UPS 1500VA LCD RM 2U 230V WITH SMARTCONNECTIN ACCS,10756.00,NOK,APC SMART-UPS 1500VA LCD RM 2U 230V WITH SMARTCONNECTIN ACCS (SMT1500RMI2UC) - Kapasitet: 1.5kVA - Produkt: Rackmonterte UPS,
90,Fujifilm,Fujifilm XF 8-16mm 1:2.8 R LM WR,1879.00,EUR,Fujifilm XF 8-16mm 1:2.8 R LM WR,
91,Znaka: Originlne,Originlny toner OKI 43865724 (ierny),136.9,EUR,Originlny spotrebn materil pre tlaiarne OKI,
92,,Seiko Presage Automatic Zen Garden SRPD41 SRPD41J1 SRPD41J Japan Made Mens Watch,450,USD,"Seiko Presage Automatic Zen Garden SRPD41 SRPD41J1 SRPD41J Japan Made Men's Watch This gentlemen's mechanical watch fits into any occasion; whether official, social or ceremonial. It has a somewhat uncanny resemblance to the Grand Seiko cousins in terms of built and finishing. The all-new case design points the watch to be a classy timepiece with a curved sapphire crystal that enhances the depth and rich texture of the patterns on the dial.Features:Made In JapanStainless Steel CaseStainless Steel BraceletAutomatic MovementCaliber: 4R3523 JewelsSapphire CrystalBlue DialAnalog DisplayDate DisplayPull/Push CrownSee Through Case BackDeployment Clasp30M Water ResistanceApproximate Case Diameter: 42mmApproximate Case Thickness: 12mm",
93,,AF-S NIKKOR 20mm f/1.8G ED,719.95,USD,"Widen your creative potential with Nikon's fastest wide-angle lens yet. Capture everything from landscapes, skyscapes and architecture to wedding parties, family portraits, stage events and more—indoors or outdoors. An ultra-wide 20mm perspective (30mm equivalent on DX-format cameras) is combined with the low-light capabilities and beautifully blurred backgrounds of an f/1.8 maximum aperture and the superb optical characteristics of an advanced NIKKOR prime lens for stunning performance whether you shoot an FX- or DX-format D-SLR, stills, HD video, time lapse sequences or star trail images.",
